mesh-id,category
D057847,Lipid Regulating Agents
A000220,Collagen-specific Enzyme
D017364,Collagenases
A000221,"Microbial Collagenase, antagonists & inhibitors"
A000222,Misc. Skin and Mucous Membrane Agents
A000223,Musculo-Skeletal System
A000224,Preparations for Treatment of Wounds and Ulcers
D006074,Antigout Preparations
A000225,Detoxifying Agents for Antineoplastic Treatment
A000226,Methemoglobinemia Associated Agents
A000227,Musculo-Skeletal System
D010088,Oxidoreductases
A000228,Uric Acid-specific Enzyme
A000229,Anti-Gonadotropin-Releasing Hormones
A000230,Decreased GnRH Secretion
A000231,Gonadotropin Releasing Hormone Receptor Antagonists
A000232,Gonadotropin-releasing Hormone Antagonists
D006727,Hormone Antagonists
A000233,Pituitary and Hypothalamic Hormones and Analogues
A000234,"Systemic Hormonal Preparations, Excl. Sex Hormones and Insulins"
A000235,Agents reducing cytokine levels
A000236,Antineoplastic and Immunomodulating Agents
A000237,Biologics for Rheumatoid Arthritis Treatment
A000238,Disease-modifying Antirheumatic Agents
A000239,Miscellaneous GI Drugs
A000240,Tumor necrosis factor alpha (TNF-alpha) inhibitors
A000241,Tumor Necrosis Factor Receptor Blocking Activity
A000242,Agents Causing Muscle Toxicity
A000243,Anterior Pituitary Lobe Hormones and Analogues
A000244,Cytochrome P-450 CYP1A2 Inducers (strength unknown)
D065689,Cytochrome P-450 CYP2C19 Inhibitors
A000245,Cytochrome P-450 CYP2C19 inhibitors (strength unknown)
A000246,Cytochrome P-450 CYP2C19 Inhibitors (weak)
D013006,Growth Hormone
A000247,"Growth Hormone, antagonists & inhibitors"
A000248,"Human Growth Hormone, antagonists & inhibitors"
A000249,P-glycoprotein substrates
A000250,Pituitary
A000251,Pituitary and Hypothalamic Hormones and Analogues
A000252,Recombinant Human Growth Hormone
A000253,Somatotropin Agonists
A000254,Somatropin and Somatropin Agonists
A000255,"Systemic Hormonal Preparations, Excl. Sex Hormones and Insulins"
A000256,Alimentary Tract and Metabolism
D056947,Enzyme Replacement Therapy
D005776,Gaucher Disease
D005959,Glucosidases
D006026,Glycoside Hydrolases
A000257,Hydrolytic Lysosomal Glucocerebroside-specific Enzyme
D010975,Antiplatelet agents
A000258,Blood and Blood Forming Organs
A000259,Glycoprotein IIb/IIIa Receptor-directed Monoclonal Antibodies
D007140,Immunoglobulin Fab Fragments
A000260,Miscellaneous Therapeutic Agents
D010446,Peptide Fragments
A000261,Platelet Aggregation Inhibitors Excl. Heparin
A000262,Blood and Blood Forming Organs
D019774,Blood Coagulation Factor Inhibitors
D004792,Enzyme Precursors
A000263,Recombinant Activated Protein C
D018796,Antibody-drug Conjugates
A000264,Antineoplastic and Immunomodulating Agents
D000080084,Calicheamicins
A000265,Cancer immunotherapy
A000266,CD33-directed Antibody Interactions
A000267,CD33-directed Cytotoxin
D006027,Glycosides
A000268,Hepatotoxic Agents
D000922,Immunotoxins
A000269,MONOCLONAL ANTIBODIES AND ANTIBODY DRUG CONJUGATES
A000270,Myelosuppressive Agents
A000271,Narrow Therapeutic Index Drugs
D009676,Noxae
D004786,Toxic Actions
D000085,Acetates
D000144,"Acids, Acyclic"
D000588,Amines
A000272,Diagnostic Radiopharmaceuticals
A000273,Indium (111In) Compounds
D007205,Indium Radioisotopes
D011073,Polyamines
A000274,Tumour Detection
D000209,Acute-Phase Proteins
D000510,Alpha-Globulins
D000933,Antifibrinolytic Agents
A000275,Blood and Blood Forming Organs
A000276,Human alpha-1 Proteinase Inhibitor
A000277,Proteinase Inhibitors
D014361,Trypsin Inhibitors
A000278,Antineoplastic and Immunomodulating Agents
A000279,Asparagine-specific Enzyme
D003692,Delayed-Action Preparations
A000280,Pegylated agents
A000281,Thyroxine-binding globulin inhibitors
A000282,Antineoplastic and Immunomodulating Agents
A000283,Cytochrome P-450 CYP1A2 Inhibitors (strength unknown)
D000091369,Immunomodulatory Agents
D016899,Interferon-beta
A000284,Recombinant Human Interferon beta
D000619,Aminohydrolases
A000285,Antineoplastic and Immunomodulating Agents
A000286,Bovine Intestinal Adenosine Deaminase
D009700,Nucleoside Deaminases
A000287,Pegylated agents
D016511,Severe Combined Immunodeficiency
D000418,Albumins
A000288,Blood and Blood Forming Organs
A000289,Blood and Related Products
A000290,Blood Derivatives
A000291,Blood Substitutes and Perfusion Solutions
A000292,Blood Substitutes and Plasma Protein Fractions
A000293,Cardiac Function
A000294,Diluents
D000075462,Human Serum Albumin
A000295,Increased Intravascular Volume
A000296,Increased Oncotic Pressure
A000297,Osmotic Activity
D012709,Serum Albumin
A000298,Blood and Blood Forming Organs
A000299,Decreased Platelet Aggregation
