drug,category
DB00078,D007167
DB00078,D016393
DB00078,A000358
DB00078,D011506
DB00078,A000359
DB00078,D012712
DB00078,A000360
DB00078,A000361
DB00078,D015021
DB00080,A000362
DB00080,D000602
DB00080,D000900
DB00080,D000890
DB00080,A000363
DB00080,A000364
DB00080,A000365
DB00080,A000366
DB00080,D008055
DB00080,A000367
DB00080,D055666
DB00080,A000368
DB00080,D010455
DB00080,D010456
DB00081,D000602
DB00081,D000906
DB00081,D018951
DB00081,D000970
DB00081,D001798
DB00081,A000369
DB00081,A000370
DB00081,A000371
DB00081,D005916
DB00081,D007136
DB00081,D007162
DB00081,D007166
DB00081,A000372
DB00081,A000373
DB00081,D011506
DB00081,D016499
DB00081,A000374
DB00081,D012712
DB00081,A000375
DB00082,D000172
DB00082,D000602
DB00082,A000376
DB00082,D002800
DB00082,D065701
DB00082,A000377
DB00082,D065693
DB00082,A000378
DB00082,A000379
DB00082,D006728
DB00082,D006730
DB00082,A000380
DB00082,A000381
DB00082,D036361
DB00082,D010455
DB00082,A000382
DB00082,D010907
DB00082,D010908
DB00082,A000383
DB00083,D065087
DB00083,A000384
DB00083,D000602
DB00083,D001426
DB00083,D001427
DB00083,D001685
DB00083,D001905
DB00083,D019274
DB00083,D002492
DB00083,D018678
DB00083,D010450
DB00083,D004798
DB00083,D045762
DB00083,D005730
DB00083,D006867
DB00083,D049990
DB00083,D008666
DB00083,D045726
DB00083,A000385
DB00083,A000386
DB00083,A000387
DB00083,D009465
DB00083,D009466
DB00083,D009498
DB00083,D018377
DB00083,D009676
DB00083,A000388
DB00083,D010447
DB00083,D018373
DB00083,D011506
DB00083,D004786
DB00083,D014118
DB00085,A000389
DB00085,D002265
DB00085,D045424
DB00085,A000390
DB00085,A000391
DB00085,D004798
DB00085,D045762
DB00085,D004950
DB00085,D005765
DB00085,D006867
DB00085,D008049
DB00085,D010184
DB00085,D014020
DB00086,A000392
DB00086,D000602
DB00086,D000925
DB00086,A000393
DB00086,D001798
DB00086,D002317
DB00086,D010450
DB00086,D004798
DB00086,D045762
DB00086,D050299
DB00086,D005343
DB00086,D006401
DB00086,D006867
DB00086,A000394
DB00086,D010447
DB00086,D010960
DB00086,D011506
DB00086,A000395
DB00087,D000602
DB00087,D000906
DB00087,D000911
DB00087,D061067
DB00087,D000970
DB00087,D000074322
DB00087,A000396
DB00087,D001798
DB00087,A000397
DB00087,A000398
DB00087,A000399
DB00087,D005916
DB00087,D007136
DB00087,D007162
DB00087,D007166
DB00087,D007167
DB00087,A000400
DB00087,A000401
DB00087,D011506
DB00087,A000402
DB00087,D012712
DB00088,A000403
DB00088,D056947
DB00088,D004798
DB00088,D045762
DB00088,D005776
DB00088,D005959
DB00088,D006026
DB00088,D006867
DB00088,A000404
DB00089,D000602
DB00089,D000906
DB00089,D001798
DB00089,D020313
DB00089,A000405
DB00089,D005916
DB00089,D007136
DB00089,D007162
DB00089,D007202
DB00089,A000406
DB00089,D007205
DB00089,D019995
DB00089,D011471
DB00089,D011506
DB00089,D012712
DB00089,A000407
DB00090,A000408
DB00090,D004798
DB00090,D045762
DB00090,D006026
DB00090,D006867
DB00090,A000409
DB00090,A000410
DB00091,A000411
DB00091,A000412
DB00091,A000413
DB00091,A000414
DB00091,A000415
DB00091,D000602
DB00091,D000893
DB00091,D018501
DB00091,A000416
DB00091,A000417
DB00091,A000418
DB00091,A000419
DB00091,A000420
DB00091,D065095
DB00091,D003524
DB00091,D065689
DB00091,A000421
DB00091,D065690
DB00091,A000422
DB00091,D065692
DB00091,A000423
DB00091,A000424
DB00091,A000425
DB00091,A000426
DB00091,A000427
DB00091,A000428
DB00091,D065607
DB00091,A000429
DB00091,D003879
DB00091,D004791
DB00091,D007155
DB00091,D007166
DB00091,A000430
DB00091,A000431
DB00091,A000432
DB00091,A000433
DB00091,A000434
DB00091,A000435
DB00091,A000436
DB00091,A000437
DB00091,A000438
DB00091,A000439
DB00091,A000440
DB00091,A000441
DB00091,D010455
DB00091,D010456
DB00092,D000602
DB00092,D000906
DB00092,A000442
DB00092,D001798
DB00092,A000443
DB00092,A000444
DB00092,D018968
DB00092,D003879
DB00092,D005916
DB00092,D006023
DB00092,D007132
DB00092,D007155
DB00092,D007162
DB00092,D007166
DB00092,D008562
DB00092,D008565
DB00092,D011506
