id,derived-from,name,organism
BE0000195,Monocarboxylate transporter 5,Humans
BE0000361,Monocarboxylate transporter 3,Humans
BE0000669,Monocarboxylate transporter 1,Humans
BE0000698,"Pyruvate carboxylase, mitochondrial",Humans
BE0000789,Large neutral amino acids transporter small subunit 2,Humans
BE0000038,Phenylalanine--tRNA ligase alpha subunit,Humans
BE0000753,Phenylalanine-4-hydroxylase,Humans
BE0000028,"Phenylalanine--tRNA ligase, mitochondrial",Humans
BE0000561,Phenylalanine--tRNA ligase beta subunit,Humans
BE0000614,Tyrosine 3-monooxygenase,Humans
BE0000544,"Propionyl-CoA carboxylase beta chain, mitochondrial",Humans
BE0000159,Biotin--protein ligase,Humans
BE0000072,"Methylcrotonoyl-CoA carboxylase beta chain, mitochondrial",Humans
BE0000702,Acetyl-CoA carboxylase 2,Humans
BE0000445,"Methylcrotonoyl-CoA carboxylase subunit alpha, mitochondrial",Humans
BE0000492,"Propionyl-CoA carboxylase alpha chain, mitochondrial",Humans
BE0000626,Acetyl-CoA carboxylase 1,Humans
BE0002341,Neuronal acetylcholine receptor subunit alpha-7,Humans
BE0000494,Choline-phosphate cytidylyltransferase B,Humans
BE0000426,Acetylcholinesterase,Humans
BE0000615,Choline-phosphate cytidylyltransferase A,Humans
BE0002179,Phospholipase D2,Humans
BE0002180,Cholinesterase,Humans
BE0002181,Phospholipase D1,Humans
BE0002186,Phosphoethanolamine/phosphocholine phosphatase,Humans
BE0000212,High affinity cationic amino acid transporter 1,Humans
BE0000052,Cationic amino acid transporter 4,Humans
BE0000136,Cationic amino acid transporter 3,Humans
BE0000562,Low affinity cationic amino acid transporter 2,Humans
BE0000198,Lysine--tRNA ligase,Humans
BE0000520,Argininosuccinate lyase,Humans
BE0000005,"Nitric oxide synthase, inducible",Humans
BE0000758,"Arginase-2, mitochondrial",Humans
BE0000671,Argininosuccinate synthase,Humans
BE0000263,"Nitric oxide synthase, endothelial",Humans
BE0001361,Hyaluronate lyase,Streptococcus pneumoniae serotype 4 (strain ATCC BAA-334 / TIGR4)
