drug,reference
DB00114,A13341
DB00114,A198978
DB00114,A198981
DB00114,A13342
DB00114,A13343
DB00114,A13344
DB00114,A13345
DB00114,A13346
DB00114,A2622
DB00114,A13347
DB00114,A13348
DB00114,A13349
DB00114,A198993
DB00114,A198996
DB00114,A198999
DB00114,A13353
DB00114,A13354
DB00114,A199008
DB00114,A199011
DB00114,A13355
DB00114,A13356
DB00114,A13357
DB00114,A13358
DB00114,A13359
DB00114,A13352
DB00114,L9734
DB00114,L9737
DB00114,L9740
DB00114,A13360
DB00114,A13361
DB00114,A199056
DB00114,A199059
DB00114,A99493
DB00114,A99496
DB00114,A13350
DB00114,A13351
DB00114,A14596
DB00114,A14597
DB00114,A14598
DB00114,A14599
DB00114,A13846
DB00114,A14600
DB00114,A14601
DB00114,A14602
DB00114,A13362
DB00114,A13363
DB00114,A13364
DB00114,A13365
DB00114,A47095
DB00114,A199020
DB00114,A13366
DB00114,A13367
DB00114,A13368
DB00114,A13369
DB00114,A13370
DB00114,A13371
DB00114,A13372
DB00114,A199014
DB00114,A199017
DB00114,A55906
DB00114,A13373
DB00114,A13374
DB00114,A13375
DB00114,A13376
DB00114,A13377
DB00114,A13378
DB00114,A13379
DB00115,A13384
DB00115,A15425
DB00115,A175255
DB00115,A13380
DB00115,A13381
DB00115,A13382
DB00115,A13383
DB00115,A9639
DB00115,A9641
DB00115,A9642
DB00115,A9644
DB00115,A9645
DB00115,A175285
DB00115,A175288
DB00115,A13385
DB00115,A13386
DB00115,A13387
DB00115,A13388
DB00115,A175291
DB00115,A17315
DB00115,A17316
DB00116,A2188
DB00116,A2191
DB00116,A2193
DB00116,A2195
DB00116,A2197
DB00116,A1713
DB00116,A1715
DB00116,A9646
DB00116,A11636
DB00116,A11637
DB00116,A11638
DB00116,A11639
DB00116,A11640
DB00116,A11641
DB00116,A11642
DB00116,A11643
DB00116,A11644
DB00116,A11645
DB00116,A13389
DB00116,A13390
DB00116,A13391
DB00116,A13392
DB00116,A13393
DB00116,A13394
DB00116,A13395
DB00116,A13396
DB00116,A13397
DB00116,A13398
DB00116,A13399
DB00116,A1991
DB00116,A13400
DB00116,A13401
DB00116,A13402
DB00116,A14603
DB00116,A14599
DB00116,A9909
DB00116,A13403
DB00116,A13404
DB00116,A13405
DB00116,A13406
DB00116,A13407
DB00116,A14604
DB00116,A14605
DB00116,A14606
DB00116,A9911
DB00116,A13408
DB00117,A2200
DB00117,A2202
DB00117,A2204
DB00117,A2206
DB00117,A2209
DB00117,A9647
DB00117,A9648
DB00117,A1713
DB00117,A1715
DB00117,A9649
DB00117,A9650
DB00117,A9651
DB00117,A9652
DB00117,A9653
DB00118,A17328
DB00118,A17329
DB00118,A20056
DB00118,A20188
DB00118,A20189
DB00118,A9654
DB00118,A9655
DB00118,A9656
DB00118,A9657
DB00118,A9658
DB00118,A9659
DB00118,A9660
DB00118,A9661
DB00118,A9662
DB00118,A11646
DB00118,A11647
DB00118,A11648
DB00118,A11649
DB00118,A11650
DB00118,A11651
DB00118,A11652
DB00118,A11653
DB00118,A11654
DB00118,A11655
DB00118,A11656
DB00119,A2211
DB00119,A9663
DB00119,A1713
DB00119,A1715
DB00119,A9664
DB00119,A9665
DB00119,A9666
DB00119,A9667
DB00119,A9668
DB00119,A9669
DB00119,A9670
DB00119,A9671
DB00119,A9672
DB00119,A9673
DB00119,A9674
DB00119,A9675
DB00119,A9676
DB00119,A9677
DB00119,A9678
DB00119,A9679
DB00119,A9680
DB00119,A9681
DB00119,A9
DB00119,A9682
DB00119,A9683
DB00119,A9684
DB00119,A9685
DB00119,A9686
DB00119,A9687
DB00119,A11196
DB00119,A11197
DB00119,A11198
DB00119,A11199
DB00119,A9717
DB00120,A2213
DB00120,A2215
DB00120,A2217
DB00120,A2218
DB00120,A9688
DB00120,A9689
DB00120,A9690
DB00120,A9691
DB00120,A9692
DB00120,A1713
DB00120,A1715
DB00120,A9693
DB00120,A9694
DB00120,A9695
DB00120,A9696
DB00120,A9697
DB00120,A9698
DB00120,A9699
DB00120,A9700
DB00120,A9701
DB00120,A9702
DB00120,A9703
DB00120,A9
DB00121,A1713
DB00121,A1715
DB00121,A2220
DB00121,A2222
DB00121,A2225
DB00121,A9705
DB00121,A9704
DB00121,A9706
DB00121,A9711
DB00121,A9712
DB00121,A9713
DB00121,A9714
DB00121,A9715
DB00121,A9716
DB00121,A9717
DB00121,A9718
DB00121,A9719
DB00121,A9720
DB00121,A9721
DB00121,A9722
DB00121,A9723
DB00121,A9724
DB00121,A9725
DB00122,A19868
DB00122,A1713
DB00122,A1715
DB00122,A2227
DB00122,A9726
DB00122,A9727
DB00122,A9728
DB00122,A9729
DB00122,A9730
DB00122,A9731
DB00122,A9732
DB00122,A13409
DB00122,A13410
DB00122,A13411
DB00122,A13412
DB00122,A13413
DB00122,A13414
DB00122,A13415
DB00122,A13416
DB00122,A13417
DB00122,A198813
DB00123,A1713
DB00123,A1715
DB00123,A2229
DB00123,A2232
DB00123,A2234
DB00123,A9733
DB00123,A9734
DB00123,A9735
DB00123,A9736
DB00123,A9737
DB00123,A9738
DB00123,A9739
DB00123,A9740
DB00123,A9741
DB00125,A2235
DB00125,A2238
DB00125,A9742
DB00125,A9743
DB00125,A9744
DB00125,A9745
DB00125,A9746
DB00125,A9747
DB00125,A9748
DB00125,A9749
DB00125,A9750
DB00125,A9751
DB00125,A9752
DB00125,A9753
DB00125,A9754
DB00125,A9755
DB00125,A9756
DB00125,A9757
DB00125,A9758
DB00125,A9759
DB00125,A9760
DB00125,A9761
DB00125,A9762
DB00125,A9763
DB00125,A13468
DB00125,A13469
DB00125,A13470
DB00125,A13471
DB00125,A13472
DB00126,A12931
DB00126,A12932
DB00126,A12933
DB00126,A12934
DB00126,A12935
DB00126,A12936
DB00126,A192060
DB00126,A192039
DB00126,A192054
DB00126,A13535
DB00126,A13536
DB00126,A13537
DB00126,A13538
DB00126,A13539
DB00126,A13540
DB00126,A192051
DB00126,A13547
DB00126,A13548
DB00126,A13549
DB00126,A192048
DB00126,A192045
DB00126,A192042
DB00126,A100057
DB00126,A100507
DB00126,A9769
DB00126,A9
DB00126,A192036
DB00126,A192033
DB00126,A192030
DB00126,A13565
DB00126,A13566
DB00127,A11657
DB00127,A11658
DB00127,A11659
DB00127,A11660
DB00127,A11661
DB00127,A11662
DB00127,A11663
DB00127,A11664
DB00127,A11665
DB00127,A9770
DB00127,A9771
DB00127,A9772
DB00127,A9773
DB00127,A9774
DB00127,A17237
DB00127,A17238
DB00127,A17239
DB00127,A13613
DB00127,A13614
DB00127,A13615
DB00127,A13616
DB00127,A14607
DB00127,A20034
DB00127,A20149
DB00128,A203504
DB00128,A108286
DB00128,A203507
DB00128,A100816
DB00128,A100795
DB00128,A4146
DB00128,A4147
DB00128,A4148
DB00128,A4149
DB00128,A4150
DB00128,A9775
DB00128,A9776
DB00128,A9777
DB00128,A9778
DB00128,A9779
DB00128,A9780
DB00128,A9781
DB00128,A9782
DB00128,A9783
DB00128,A9784
DB00128,A193758
DB00128,A1713
DB00128,A1715
DB00128,A9785
DB00128,A9786
DB00128,A9787
DB00128,A9788
DB00128,A9789
DB00128,A9790
DB00128,A9791
DB00128,A1991
DB00128,A9792
DB00128,A9793
DB00128,A9794
DB00128,A9795
DB00128,A9796
DB00128,A9797
DB00128,A9798
DB00128,A193761
DB00128,A193764
DB00128,A193767
DB00128,A13628
DB00128,A13629
DB00128,A13630
DB00128,A13631
DB00128,A13632
DB00128,A13633
DB00128,A13634
DB00128,A193773
DB00128,A193776
DB00128,A193779
DB00129,A4151
DB00129,A4152
DB00129,A4153
DB00129,A9799
DB00129,A9800
DB00129,A9801
DB00129,A9802
DB00129,A9803
DB00129,A9804
DB00129,A9805
DB00129,A9806
DB00129,A9807
DB00129,A9808
DB00129,A9809
DB00129,A9815
DB00129,A9758
DB00129,A9810
DB00129,A138385
DB00129,A9811
DB00129,A9812
DB00129,A9813
DB00129,A9814
DB00129,A9816
DB00129,A9817
DB00129,A9818
DB00129,A9819
DB00129,A9820
DB00129,A9821
DB00129,A1713
DB00129,A1715
DB00129,A13635
DB00129,A13636
DB00129,A13637
DB00130,A11666
DB00130,A11667
DB00130,A11668
DB00130,A67678
DB00130,A192105
DB00130,A13638
DB00130,A13639
DB00130,A13640
DB00130,A13641
DB00130,A13642
DB00131,A202766
DB00131,A15101
DB00131,A15102
DB00131,A9822
DB00131,A9823
DB00131,A9824
DB00131,A9825
DB00131,A9826
DB00131,A9827
DB00131,A9828
DB00131,A9829
DB00131,A9830
DB00131,A9831
DB00131,A9832
DB00131,A9833
DB00131,A9
DB00131,A11671
DB00131,A11672
DB00131,A11673
DB00131,A11674
DB00131,A11675
DB00131,A12861
DB00131,A12862
DB00131,A12863
DB00131,A12864
DB00131,A202136
DB00131,A12865
DB00131,A9739
DB00131,A12866
DB00131,A14223
DB00131,A14224
DB00132,A13644
DB00132,A13645
DB00132,A13646
DB00132,A13647
DB00132,A13648
DB00132,A13649
DB00132,A13650
DB00132,A13651
DB00132,A13652
DB00132,A13653
DB00132,A13886
DB00132,A19808
DB00132,A19810
DB00132,A19916
DB00132,A202220
DB00132,A1713
DB00132,A1715
DB00132,A13654
DB00133,A4154
DB00133,A4155
DB00133,A1713
DB00133,A1715
DB00133,A9834
DB00133,A9835
DB00133,A9836
DB00133,A9837
DB00133,A9838
DB00133,A9839
DB00133,A9840
DB00133,A9841
DB00133,A9842
DB00133,A9843
DB00133,A9844
DB00133,A9845
DB00134,A9846
DB00134,A9847
DB00134,A9848
DB00134,A9849
DB00134,A9850
DB00134,A9851
DB00134,A9852
DB00134,A9853
DB00134,A13655
DB00134,A13656
DB00134,A13657
DB00134,A13658
DB00134,A13659
DB00134,A13660
DB00134,A13661
DB00134,A13662
DB00134,A13663
DB00134,A13664
DB00134,A100999
DB00135,A4156
DB00135,A4157
DB00135,A4158
DB00135,A4159
DB00135,A4160
DB00135,A9
DB00135,A1713
DB00135,A1715
DB00135,A9854
DB00135,A9855
DB00135,A9856
DB00135,A9857
DB00135,A9858
DB00136,A9859
DB00136,A9
DB00136,A19992
DB00138,A4161
DB00138,A4162
DB00138,A4163
DB00138,A4164
DB00138,A4165
DB00138,A9860
DB00139,A13672
DB00139,A13673
DB00139,A13674
DB00139,A13675
DB00139,A13676
DB00139,A9
DB00139,A13682
DB00140,A9869
DB00140,A9870
DB00140,A9871
DB00140,A9872
DB00140,A9873
DB00140,A9874
DB00140,A14234
DB00140,A14235
DB00140,A4169
DB00140,A4170
DB00141,A9884
DB00141,A9885
DB00141,A9886
DB00141,A9887
DB00141,A9888
DB00141,A13685
DB00141,A13686
DB00141,A13687
DB00141,A13688
DB00141,A13689
DB00141,A13690
DB00141,A1713
DB00141,A1715
DB00141,A13691
DB00141,A13692
DB00141,A13693
DB00141,A9875
DB00141,A9876
DB00141,A9877
DB00141,A9878
DB00141,A9879
DB00141,A9
DB00141,A9880
DB00141,A9881
DB00141,A9882
DB00141,A9883
DB00142,A11333
DB00142,A11334
DB00142,A11335
DB00142,A1713
DB00142,A1715
DB00142,A11336
DB00142,A11331
DB00142,A11337
DB00142,A11338
DB00142,A13694
DB00142,A13695
DB00142,A13696
DB00142,A13697
